airbnb_listing_id,ad_name,bairro,listing_type,number_of_bedrooms,number_of_bathrooms,number_of_guests,adr_mediano,adr_medio,n_diarias_observadas,number_of_reviews,star_rating,guest_satisfaction_overall,is_superhost,is_professional
1181723518413479765,Flats no centro de Itapema NOVO!,Centro,apartamento,1,1.0,4,450.0,524.3837209302326,86.0,12,4.670000076293945,4,False,False
892040904724748513,Infinity Tower Flat - 1608,Meia Praia,apartamento,1,1.0,4,,,,3,5.0,5,False,False
1286915562509742348,Casa espaçosa próxima ao mar em Itapema!,Centro,apartamento,3,2.0,12,,,,3,5.0,5,True,False
1019756845213291605,Quarto Suite Privativa 100M da praia,Não identificado,outros,1,1.0,2,179.0,173.32638888888889,72.0,16,5.0,5,True,False
917248246206573715,Ap 4 suítes 100m da praia,Não identificado,apartamento,4,4.0,8,,,,0,,0,False,False
813299410711135404,quarto itapema sc,Meia Praia,outros,1,1.0,2,,,,0,,0,False,
29844589,Apartamento a 100m da praia de Itapema,Não identificado,apartamento,3,2.0,10,,,,9,4.889999866485596,4,False,False
1272762188354823017,"Paraíso na praia, perto do mar!",Meia Praia,apartamento,2,2.0,6,,,,1,5.0,5,False,False
18506998,Apartamento diferenciado na quadra mar.,Não identificado,apartamento,2,2.0,4,350.0,373.4878048780488,41.0,29,5.0,5,True,False
39145712,Inesquecível #Pé na AREIA #Apto FRENTE MAR Itapema,Meia Praia,apartamento,3,2.0,8,662.0,811.4933333333333,75.0,166,4.900000095367432,4,True,False
1303770950784049217,MAR e B. King a 220 Mts.,Não identificado,apartamento,2,2.0,6,,,,3,4.670000076293945,4,True,False
626613268590041709,APARTAMENTO ENCANTADOR PARA FÉRIAS NA BEIRA DO MAR,Não identificado,apartamento,2,2.0,4,,,,6,4.829999923706055,4,False,False
1286375776992371752,Cobertura prox Russi Russi em Meia Praia,Meia Praia,apartamento,3,2.0,12,,,,0,,0,False,
770925188639991130,"Meia Praia, apartº para férias",Meia Praia,apartamento,3,4.0,8,,,,1,5.0,5,False,False
1233986792217616376,No centro da Meia Praia,Meia Praia,apartamento,2,1.0,6,,,,2,4.5,4,False,False
27109960,Apto 2 quartos próximo ao mar.,Não identificado,apartamento,2,2.0,5,,,,5,4.800000190734863,4,False,False
980484029651320876,"Apto 303 Itapema,  beira mar",Não identificado,apartamento,2,2.0,6,,,,7,4.139999866485596,4,True,False
1153493820067017135,Conforto próximo a praia em Itapema UT8931,Não identificado,apartamento,2,2.0,4,396.25,405.34953680555554,144.0,4,5.0,5,False,True
53803935,Apartamento na Quadra Mar Para Toda Família,Não identificado,apartamento,3,2.0,12,604.3333,642.549644680851,47.0,13,4.849999904632568,4,False,False
1007429386154806342,Apto Alto  Padrão vista para o Mar em Itapema.,Não identificado,apartamento,2,2.0,6,,,,0,,0,False,False
962365194409394436,Apartamento novo 400 metros mar,Meia Praia,apartamento,3,4.0,8,,,,3,5.0,5,False,False
53195241,Apartamento de Luxo Frente Mar com Praticidade,Não identificado,apartamento,4,3.0,10,1750.0,1780.6509255555554,180.0,12,4.920000076293945,4,False,False
1323375510168214531,"Studio Sunset Manhattan, 200m da praia, 1506 A",Não identificado,apartamento,1,1.0,2,,,,1,5.0,5,False,False
53143021,"APARTAMENTO, MEIA PRAIA,  20 METROS DO MAR.",Meia Praia,apartamento,2,3.0,6,600.0,639.6530612244898,49.0,14,4.710000038146973,4,False,False
1033550764453018366,"Casa temporada em Itapema,",Não identificado,casa,2,1.0,6,,,,0,,0,False,False
1019030592109059625,Melhor sacada com churrasqueira,Não identificado,apartamento,3,2.0,8,,,,0,,0,False,False
49123621,Apartamento - 03 Suítes/ 02Vagas / Sacada Mar,Não identificado,apartamento,3,0.0,6,900.0,770.3783185840708,226.0,16,4.940000057220459,4,False,False
1316907831978027012,Apartamento 3 Suítes e 2 Vagas,Não identificado,apartamento,3,3.0,8,,,,1,5.0,5,False,False
1316833704128895795,Belíssimo Apartamento,Não identificado,apartamento,2,2.0,4,,,,0,,0,False,False
1254594428388235935,2 Suítes quadra mar meia praia,Meia Praia,apartamento,3,3.0,8,,,,0,,0,False,False
16659919,RP Estúdio Meia Praia ar wifi vaga coz. tv smart,Meia Praia,apartamento,0,1.0,5,,,,17,4.590000152587891,4,False,False
