bairro,faixa_quartos,n_imoveis,preco_venda_mediano,preco_m2_mediano,area_util_mediana,condo_mediano,iptu_mediano
Alto São Bento,0,9,560000.0,1250.0,330.0,0.0,50.0
Alto São Bento,2,34,623035.0,9267.03,67.0,1.0,300.0
Alto São Bento,3,5,690000.0,7324.84,95.0,0.0,0.0
Alto São Bento,4+,1,1000000.0,6666.67,150.0,,0.0
Andorinha,0,9,2900000.0,16666.67,120.0,1.0,1825.0
Andorinha,1,12,760000.0,17820.71,60.0,1.0,0.0
Andorinha,2,69,950000.0,11187.5,84.0,445.5,570.0
Andorinha,3,415,1699800.0,13743.75,122.0,490.0,610.0
Andorinha,4+,191,2798000.0,15288.0,186.0,650.0,250.0
Canto da Praia,1,7,780000.0,14220.69,50.0,500.0,100.0
Canto da Praia,2,11,1218613.0,14080.46,87.0,1.0,1.0
Canto da Praia,3,72,1984400.0,14850.0,119.0,0.0,0.5
Canto da Praia,4+,26,6200000.0,21642.86,280.5,1.0,1.0
Casa Branca,0,10,781000.0,2352.08,315.5,0.0,0.0
Casa Branca,2,21,698000.0,9285.71,70.0,350.0,100.0
Casa Branca,3,24,1549885.0,10661.95,150.0,0.0,0.0
Casa Branca,4+,13,3490000.0,12830.88,272.0,66.0,131.0
Castelo Branco,0,5,1887060.0,22465.0,95.0,0.5,340.0
Castelo Branco,1,2,1525500.0,20436.09,166.0,0.0,0.0
Castelo Branco,2,52,1055000.0,11904.08,87.5,420.0,597.5
Castelo Branco,3,268,1682505.0,13590.02,126.0,375.5,150.0
Castelo Branco,4+,120,2495297.5,14085.42,180.0,126.5,780.0
Centro,0,3,2145000.0,20432.84,123.0,1.0,100.0
Centro,1,20,895000.0,16401.66,49.0,500.0,1000.0
Centro,2,80,1122500.0,13028.94,85.0,480.0,682.5
Centro,3,399,2100000.0,15789.47,131.0,1.0,1.0
Centro,4+,406,3900000.0,18962.44,200.0,0.0,0.0
Estreito,3,1,2750000.0,9821.43,280.0,0.0,0.0
Estreito,4+,4,5107500.0,26762.52,197.5,990.0,1250.0
Ilhota,0,5,1200000.0,2000.0,450.0,0.0,0.0
Ilhota,1,5,220000.0,5333.11,38.0,250.0,60.0
Ilhota,2,1,500000.0,6756.76,74.0,0.0,0.0
Ilhota,3,5,5045250.0,15697.67,362.0,3.0,0.0
Ilhota,4+,31,8985500.0,22651.05,389.0,3.0,100.0
Jardim Praia Mar,0,1,685000.0,2283.33,300.0,,
Jardim Praia Mar,1,5,740000.0,11935.48,62.0,0.0,0.5
Jardim Praia Mar,2,81,729981.0,10879.33,64.0,220.0,1.0
Jardim Praia Mar,3,8,702191.0,10103.18,69.5,201.5,800.0
Jardim Praia Mar,4+,1,4000000.0,21052.63,190.0,0.0,2850.0
Meia Praia,0,27,1900000.0,13709.68,154.0,0.0,0.0
Meia Praia,1,50,887500.0,21125.0,40.0,350.0,590.0
Meia Praia,2,216,1050000.0,12690.48,85.5,450.0,600.0
Meia Praia,3,1531,1884860.0,14912.28,129.0,500.0,450.0
Meia Praia,4+,1248,3790000.0,18617.02,190.0,548.5,1.0
Morretes,0,80,650000.0,2434.41,283.0,0.0,500.0
Morretes,1,43,600000.0,12898.55,44.0,0.0,50.0
Morretes,2,1133,750000.0,11120.0,69.0,1.0,500.0
Morretes,3,285,790000.0,8333.33,100.0,0.0,500.0
Morretes,4+,60,5675000.0,24965.27,188.5,1.0,1000.0
Sertão do Trombudo,0,11,598000.0,1695.33,265.0,0.0,0.0
Sertão do Trombudo,1,3,950000.0,12179.49,78.0,510.0,0.0
Sertão do Trombudo,2,9,680000.0,9315.07,90.0,0.0,500.0
Sertão do Trombudo,3,2,2065000.0,10539.89,200.0,0.0,0.0
Sertão do Trombudo,4+,3,5200000.0,17333.33,300.0,0.0,1350.0
Sertãozinho,2,1,529360.0,9624.73,55.0,400.0,800.0
Tabuleiro dos Oliveiras,1,2,699000.0,13066.56,53.5,0.0,0.0
Tabuleiro dos Oliveiras,2,105,780000.0,11428.57,69.0,1.0,1.0
Tabuleiro dos Oliveiras,3,15,885000.0,11285.71,70.0,325.0,1000.0
Tabuleiro dos Oliveiras,4+,2,2542230.0,10599.57,273.0,0.0,0.0
Varzea,0,2,594500.0,1467.19,431.5,,0.0
Varzea,2,26,644900.0,9548.64,69.0,0.0,0.0
Varzea,3,5,795000.0,9828.57,80.0,0.0,17.5
Varzea,4+,1,899000.0,3825.53,235.0,0.0,
